Oceń: 1=Spam, 0=Zostaw;Nadawca;Temat
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
0;LinkedIn <messages-noreply@linkedin.com>;Daniel, obserwuj użytkownika Magdalena Żuk ― Specjalista ds. rekrutacji z Grupa Maspex
0;LinkedIn <messages-noreply@linkedin.com>;Zobacz publikację użytkownika Oliwier Gorgoń i sprawdź, jakie kroki możesz podjąć
1;Airbnb <automated@airbnb.com>;Dah Ps czeka na Twoją recenzję
1;Google <no-reply@accounts.google.com>;Weryfikacja dwuetapowa została włączona
1;GitHub <noreply@github.com>;[GitHub] Please review this sign in
1;Netflix <info@account.netflix.com>;Z Twojego konta skorzystano na nowym urządzeniu
1;Netflix <info@account.netflix.com>;Netflix: kod logowania
0;LinkedIn <updates-noreply@linkedin.com>;Veronika Samotii i inni udostępniają swoje opinie na LinkedIn
1;Wizz Air <offers@noreply.wizznews.com>;It's time to check in!
0;LinkedIn <messages-noreply@linkedin.com>;Możesz znać użytkownika Krzysztof Męczkowski
1;CD PROJEKT RED <accounts@cdprojektred.com>;273 269 to twój jednorazowy kod do konta CD PROJEKT RED
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
0;LinkedIn <notifications-noreply@linkedin.com>;Pojawiłeś(-aś) się w wynikach 1 wyszukiwania
0;Betclic <info@emails.betclic.pl>;Aktualizacja regulaminu 📝
1;LinkedIn <jobs-listings@linkedin.com>;WeTransfer zatrudnia na stanowisko Graduate software engineer (Warsaw)
0;LinkedIn <messages-noreply@linkedin.com>;Twoja kolej, Daniel 🏆
0;LinkedIn <notifications-noreply@linkedin.com>;Uniwersytet Civitas udostępnił(-a) publikację: 👉 „Fałszywe informacje…
1;"""Primevideo.com"" <account-update@primevideo.com>";Weryfikacja konta Amazon.pl
1;"""amazon.co.uk"" <account-update@amazon.co.uk>";amazon.co.uk: Password change attempt
1;SkyShowtime <no-reply@messaging.skyshowtime.com>;Se ha iniciado sesión en tu cuenta de SkyShowtime con un nuevo dispositivo
0;LinkedIn <messages-noreply@linkedin.com>;Zobacz publikację użytkownika Oliwier Gorgoń i sprawdź, jakie kroki możesz podjąć
0;Allegro <powiadomienia@allegro.pl>;Zmiany i nowości dla kupujących w kwietniu
0;LinkedIn <updates-noreply@linkedin.com>;President and CEO z firmy Nokia ostatnio opublikował(a) treść
1;X <notify@x.com>;Widoczność Twojego wpisu została ograniczona
1;X <notify@x.com>;Widoczność Twojego wpisu została ograniczona
1;Airbnb <automated@airbnb.com>;Daniel, witaj w: Barcelona!
1;Google <no-reply@accounts.google.com>;Alert bezpieczeństwa
1;LinkedIn <jobs-noreply@linkedin.com>;Nowe oferty pracy podobne do tej: GenAI Engineering Internship Program (She/He/They) w Accenture Poland
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Ringier Axel Springer Polska HR <hr@ringieraxelspringer.pl>;Dziękujemy za zgłoszenie do RAS TECH Summer🦆
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;LinkedIn <jobs-listings@linkedin.com>;Dropbox zatrudnia na stanowisko Poland Software Engineering Intern (Summer 2026)
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software engineer, intern (Warsaw) w firmie Bending Spoons i więcej
1;Revolut <no-reply@revolut.com>;Kod dostępu został zmieniony ✅
0;Netflix <info@account.netflix.com>;Witamy ponownie w serwisie Netflix!
0;Netflix <info@account.netflix.com>;Witaj z powrotem! Możesz łatwo ponownie dołączyć do serwisu Netflix
0;Airbnb <discover@airbnb.com>;Skorzystaj z tych atrakcji Airbnb, póki możesz
1;Pluxee <noreply@pay.pluxee.pl>;Twoja karta Pluxee została usunięta z Apple Pay / Your Pluxee card has been deleted from Apple Pay / Ваша картка Pluxee було видалено з Apple Pay
0;LinkedIn <messages-noreply@linkedin.com>;Zobacz publikację użytkownika Jakub Wiech i sprawdź, jakie kroki możesz podjąć
0;LinkedIn <messages-noreply@linkedin.com>;Możesz znać użytkownika Joanna C.
1;Steam <noreply@steampowered.com>;ENDALOR właśnie zostało wydane w fazie wczesnego dostępu na Steam!
0;mBank <kontakt@mbank.pl>;Konkurs! Rower KROSS - Twój przyjaciel z mZakupów!
0;Netflix <info@join.netflix.com>;Królestwo zwierząt Sezon 6 już jest
1;LinkedIn <jobs-listings@linkedin.com>;Evernote zatrudnia na stanowisko Software engineer intern (Warsaw)
0;Ania na Facebooku <close_friend_updates@facebookmail.com>;💬 Ania Zonenberg dodał(a) komentarz do posta
1;Rekrutacje Vertex Recruitments <rekrutacje@vertex-recruitments.pl>;Rekrutacja DevOps Cloud Trainee - feedback
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Gamedev Intern w firmie Oddus i więcej
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;Wizz Air <offers@noreply.wizznews.com>;It's time to check in!
1;Airbnb <automated@airbnb.com>;Przypomnienie o rezerwacji – 31 marca 2026
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineer, Intern w firmie Precisely i więcej
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineer Intern w firmie Visa i więcej
1;Lidl <info@messages.accounts.lidl.com>;Twoje hasło zostało pomyślnie zaktualizowane!
0;Netflix <info@join.netflix.com>;Królestwo zwierząt Sezon 4 już jest
1;LinkedIn <jobs-listings@linkedin.com>;Visa zatrudnia na stanowisko Software Engineer Intern
0;LinkedIn <updates-noreply@linkedin.com>;Katarzyna W. i inni udostępniają swoje opinie na LinkedIn
0;Netflix <info@members.netflix.com>;🔔 Przypomnienie: Hazardziści już w Netflix
0;Netflix <info@join.netflix.com>;Królestwo zwierząt Sezon 2 już jest
1;xAI <noreply@x.ai>;New login to your xAI account
1;RED Playtesting Program <playtest@cdprojektred.com>;CD PROJEKT RED Playtester Database Update
1;LinkedIn <jobs-noreply@linkedin.com>;Nowe oferty pracy podobne do tej: JVM Backend Summer Internship - User Identity Team w Schibsted & Vend Polska
0;Airbnb <discover@airbnb.com>;Korzystaj z lokalnych atrakcji jak miejscowi mieszkańcy w: Barcelona
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineer Intern w firmie Visa i więcej
0;"""Chess.com"" <account@chess.com>";Aktualizacja regulaminów Chess.com
0;LinkedIn <updates-noreply@linkedin.com>;Katarzyna W. i inni udostępniają swoje opinie na LinkedIn
1;TikTok <noreply@account.tiktok.com>;Wykryto logowanie na nowym urządzeniu
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria II 2 bilety po 310,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria III 1 bilet za 264,50 zł!
1;GitHub <no-reply@github.com>;Important Update to GitHub Copilot Interaction Data Usage Policy
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, VIP Gold 3 bilety po 230,00 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria III 1 bilet za 264,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria II 2 bilety po 253,00 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria III 1 bilet za 264,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria III 1 bilet za 264,50 zł!
1;Bending Spoons <no-reply@bendingspoons.com>;Daniel Marszalek & Bending Spoons—Regarding your application
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 3 bilety po 425,50 zł!
1;LinkedIn <notifications-noreply@linkedin.com>;Daniel, Twoja pozycja została dodana! Podejmij kolejne kroki, aby odnieść więcej sukcesów.
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 2 bilety po 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 3 bilety po 425,50 zł!
1;LinkedIn <jobs-listings@linkedin.com>;CNH zatrudnia na stanowisko Intern (Embedded Software)
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria II 1 bilet za 345,00 zł!
1;Google <no-reply@google.com>;Daniel, sprawdź ustawienia swojego konta Google
1;xAI <noreply@x.ai>;New login to your xAI account
1;X <verify@x.com>;Nowe logowanie do serwisu X z przeglądarki SafariMobileIos w systemie iPhone
1;Google <no-reply@accounts.google.com>;Alert bezpieczeństwa
1;Steam <noreply@steampowered.com>;StarRupture i jeszcze jeden inny produkt z Twojej listy życzeń Steam są teraz na wyprzedaży!
1;AleBilet <alebilet@alebilet.pl>;Polska - Albania Mecz Barażowy - Twój Alert biletowy, Kategoria I 1 bilet za 425,50 zł!
1;Google <no-reply@accounts.google.com>;Alert bezpieczeństwa
0;mBank <kontakt@mbank.pl>;zmieniamy wygląd strony logowania przez mojeID do mBanku
1;Geoguessr <help@paddle.com>;Your receipt from GeoGuessr
1;GeoGuessr <noreply@geoguessr.com>;Welcome to GeoGuessr Pro
1;Geoguessr <help@paddle.com>;Your subscription to GeoGuessr
0;LinkedIn <updates-noreply@linkedin.com>;Katarzyna W. i inni udostępniają swoje opinie na LinkedIn
1;NVIDIA HR <nvidia@myworkday.com>;Thank you for your interest in NVIDIA
0;Netflix <info@join.netflix.com>;Wróć do nas. Plany już od 33 zł
1;Infocar <powiadomienia@pspk.pwpw.pl>;Przypomnienie o zbliżającym się egzaminie
1;Edyta Maksymowicz <rekrutacja+12178118803237@mail.erecruiter.pl>;LSI Software S.A. - Dziękujemy za zainteresowanie pracą w LSI Software
1;LinkedIn <jobs-noreply@linkedin.com>;Daniel, aplikuj na stanowisko Software Engineering Intern, Nsight Systems - 2026 w NVIDIA i nie tylko
0;Emma from paysafecard <newsletter@mailer.paysafecard.com>;Daniel, to TWÓJ dzień
1;"""Synaptics Inc. Recruiting Team"" <notification@career.synaptics.com>";Your application for Intern, Software, Full Stack at Synaptics Inc.
1;Bending Spoons <no-reply@bendingspoons.com>;Daniel Marszalek & Bending Spoons—Application received
1;LinkedIn <jobs-noreply@linkedin.com>;Nowe oferty pracy podobne do tej: GenAI Engineering Internship Program (She/He/They) w Accenture Poland
0;"""Alfa Romeo Giulia... na Facebooku"" <groupupdates@facebookmail.com>";Alfa Romeo Giulia Stelvio Polska: „Buongiorno grupa....”
0;"""Mister Cut Barbershop Ursynów"" <no-reply@booksy.com>";Twoja wizyta czeka na opinię
1;Infocar <powiadomienia@pspk.pwpw.pl>;Potwierdzenie zapisu na egzamin na prawo jazdy WORD
1;Airbnb <automated@airbnb.com>;Przypomnienie o rezerwacji – 31 marca 2026
1;eRecruiter <mail@stage.erecruiter.pl>;PLAY P4 Sp. z o. o. - Dziękuję za złożenie aplikacji na stanowisko Play Your Future_Program stażowy (programowanie)
1;Stalowy Szok <notifications@ankiety.stalowyszok.pl>;Analiza Potencjału Siłowego - Stalowy Szok
1;Stalowy Szok <notifications@ankiety.stalowyszok.pl>;Analiza Potencjału Siłowego - Stalowy Szok
1;"""Krzysztof Marszałek"" <kmarszalek.waw@gmail.com>";skuter
1;Infocar <powiadomienia@pspk.pwpw.pl>;Oczekiwanie na potwierdzenie przez WORD
1;"""Mister Cut Barbershop Ursynów"" <no-reply@booksy.com>";Twoja rezerwacja została potwierdzona
1;Google <no-reply@google.com>;Daniel, sprawdź ustawienia swojego konta Google
1;"""Mister Cut Barbershop Ursynów"" <no-reply@booksy.com>";Twoja rezerwacja została potwierdzona
1;Google <no-reply@accounts.google.com>;Alert bezpieczeństwa
0;Netflix <info@join.netflix.com>;Oto 3 znakomite powody, by ponownie dołączyć do serwisu Netflix:
0;"""Paweł na Facebooku"" <close_friend_updates@facebookmail.com>";💬 Paweł Koprowski dodał(a) komentarz do posta
1;Krzysztof Wolski <rekrutacja+26896320089067@mail.erecruiter.pl>;LS Airport Services Spółka Akcyjna - Przypomnienie o rozmowie rekrutacyjnej
1;LinkedIn <notifications-noreply@linkedin.com>;Kolejne kroki po dodaniu nowej umiejętności do profilu
1;Apple <no_reply@email.apple.com>;Niech muzyka dalej gra.
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software engineer, summer intern Poland w firmie Bending Spoons i więcej
0;Revolut <no-reply@revolut.com>;Zmiany w Oświadczeniu o ochronie prywatności
1;PL HR <HR.PL@also.com>;RE: Rozliczenie godzin za okres od 20.02 do 05.03.2026
1;"""Daniel Marszałek"" <dmarszalek.waw@gmail.com>";Re: Rozliczenie godzin za okres od 20.02 do 05.03.2026
1;PL HR <HR.PL@also.com>;RE: Rozliczenie godzin za okres od 20.02 do 05.03.2026
1;"""Daniel Marszałek"" <dmarszalek.waw@gmail.com>";Re: Rozliczenie godzin za okres od 20.02 do 05.03.2026
1;LinkedIn <security-noreply@linkedin.com>;Oto Twój kod weryfikacyjny 801265
1;PL HR <HR.PL@also.com>;Rozliczenie godzin za okres od 20.02 do 05.03.2026
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineering Intern, Nsight Systems - 2026 w firmie NVIDIA i więcej
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: IT Trainee / Software Engineer w firmie Bayer Sp. z o.o. i więcej
0;Netflix <info@account.netflix.com>;Rozrywka bez końca od 33 zł!
1;Netflix <info@account.netflix.com>;Przykro nam, że musimy się rozstać
1;Netflix <info@account.netflix.com>;Z Twojego konta skorzystano na nowym urządzeniu
1;Netflix <info@account.netflix.com>;Netflix: kod logowania
0;LinkedIn <jobs-noreply@linkedin.com>;Daniel Marszałek, szukasz nowej pracy?
1;Recruitment <recruitment@scalosoft.com>;Hej! Dzięki za aplikacje do Scalo!
1;Smart Tracker <noreply@thesmartjobs.com>;Twój Smart Tracker dla Junior Cybersecurity Support Analyst
0;Wiktor na Facebooku <friendupdates@facebookmail.com>;Wiktor Koprowski 😊 właśnie zaktualizował swój status
1;LinkedIn <security-noreply@linkedin.com>;Daniel Marszałek, Twoje zdjęcie profilowe zostało zmienione
1;LinkedIn <security-noreply@linkedin.com>;Daniel Marszałek, Twoje zdjęcie profilowe zostało zmienione
1;"""justjoin.it"" <no-reply@justjoin.it>";You applied for Intern - C# / .NET
1;eRecruiter <mail@stage.erecruiter.pl>;LSI Software S.A. - Dziękujemy za złożenie aplikacji na stanowisko Stażysta działu robotów (Positive Machines)
1;eRecruiter <mail@stage.erecruiter.pl>;LSI Software S.A. - Dziękujemy za złożenie aplikacji na stanowisko Stażysta działu robotów (Positive Machines)
0;LinkedIn <career-interests-noreply@linkedin.com>;Teraz jesteś otwarty(-a) na oferty pracy – możemy Ci pomóc, by inni Cię zauważyli
1;LinkedIn <security-noreply@linkedin.com>;Zweryfikuj adres e-mail
1;LinkedIn <security-noreply@linkedin.com>;Zweryfikuj adres e-mail
1;LinkedIn <security-noreply@linkedin.com>;Oto Twój kod weryfikacyjny 077487
1;TRAFFIT no-reply <no-reply@traffit-mail.com>;Thank you Daniel for applying to Junior Data Scientist
1;Magdalena MALINOWSKA <danone+email+z3ry-80e816f6f8@talent.icims.eu>;Your Application at Danone - IT&DATA Internship in Data & Analytics Team
1;"""Kluby.org"" <noreply@kluby.org>";SPEKTRUM SPORTU: Potwierdzenie rezerwacji
1;Airbnb <discover@airbnb.com>;Zaplanuj ulubioną część pobytu w: Barcelona
1;Ringier Axel Springer Polska HR <hr@ringieraxelspringer.pl>;Dziękujemy za aplikację! RAS TECH Summer o krok bliżej 
1;"""Danone @ icims"" <danone+autoreply@talent.icims.eu>";Thank you for applying for IT&DATA Internship in Data & Analytics Team at Danone
1;"""Kluby.org"" <noreply@kluby.org>";SPEKTRUM SPORTU: Odnotowaliśmy wpłatę
1;"""Kluby.org"" <noreply@kluby.org>";SPEKTRUM SPORTU: Nowa rezerwacja
1;"""Przelewy24.pl"" <no-reply@przelewy24.pl>";Nowa transakcja płatnicza (P24-V6A-D3Z-V1Y)
1;"""Kluby.org"" <noreply@kluby.org>";SPEKTRUM SPORTU: Oczekiwanie na płatność
1;"""Kluby.org"" <noreply@kluby.org>";Adres e-mail został zweryfikowany poprawnie!
1;"""Kluby.org"" <noreply@kluby.org>";Potwierdzenie rejestracji
0;"""Paweł na Facebooku"" <close_friend_updates@facebookmail.com>";💬 Paweł Koprowski dodał(a) komentarz do posta
0;Betclic <info@emails.betclic.pl>;Aktualizacja regulaminu 📝
1;Krzysztof Wolski <rekrutacja+26896320089067@mail.erecruiter.pl>;LS Airport Services - zaproszenie na spotkanie rekrutacyjne
0;Otomoto <noreply@mail.otomoto.pl>;Nowa nazwa dla większego bezpieczeństwa
1;praktyki@letsorange.knowme.biz;Praktyki Let's Orange – mamy dla Ciebie informację zwrotną.
0;Miomiorun <noreply.invitations@trustpilotmail.com>;Ricordati di recensire miomiorun.com
1;Netflix <info@account.netflix.com>;Z Twojego konta skorzystano na nowym urządzeniu
1;Netflix <info@account.netflix.com>;Netflix: kod logowania
1;eRecruiter <mail@stage.erecruiter.pl>;LS Airport Services Spółka Akcyjna - Dziękujemy za złożenie aplikacji na stanowisko Młodszy Pracownik ds. Obsługi Naziemnej (Rampa) (K/M) - Warszawa
1;TikTok <noreply@account.tiktok.com>;Wykryto logowanie na nowym urządzeniu
1;Airbnb <automated@airbnb.com>;Aktywność konta: nowe logowanie z Airbnb App używa iOS
1;praktyki@letsorange.knowme.biz;Praktyki Let's Orange – mamy twoje zgłoszenie.
